;** RIFORNIMENTI DA DEPOSITI AL: 13/09/2016 **
 
Codice;Descrizione;Q.ta rifornimento;in arrivo LBX (PZ);da MTN;(in pallet);in arrivo (PZ);da SLI;(in pallet);in arrivo (PZ);da GIC;(in pallet);in arrivo (PZ);da SHI;(in pallet);in arrivo (PZ);da    ;(in pallet);in arrivo (PZ);da TRI;(in pallet);in arrivo (PZ);Mancante
008763;TEXACO RANDO HD  68 LT. 20    ;         33;        32;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        33;         2;         0;          0
008860;TEXACO HYDRAUL HDZ  46 LT. 208;          3;        32;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         3;         1;         0;          0
010105;TEXACO URSA HEV DU 10W LT.208 ;          3;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         3;         1;         0;          0
010112;TEXACO RANDO HD  32 LT. 20    ;         30;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        30;         1;         0;          0
009060;MV+ BATTERIA 55               ;         48;       400;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        48;         1;         0;          0
009887;CEPSA XTAR 5W30 C4 DPF LT.1   ;        233;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       233;         1;         0;          0
009761;CEPSA TR. MV-S 75W85 LT.1     ;        252;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       252;         1;         0;          0
009913;CEPSA XTAR 5W40 505.01 LT.4   ;         75;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        75;         1;         0;          0
008774;TEXACO HAV XLC CONCENT LT. 1  ;        360;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       360;         1;         0;          0
008938;TEXACO WAY LUBRI X  68 LT.208 ;          2;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         2;         1;         0;          0
010297;TEXACO URSA TD 10W40 LT.208   ;          2;         4;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         2;         1;         0;          0
008755;TEXACO MEROPA  320 LT. 208    ;          2;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         2;         1;         0;          0
006290;TEXACO HAV ENERGY 5W20 LT.1   ;        240;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       240;         1;         0;          0
008985;TEXACO URSA LE 15W40 LT.20    ;         16;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        16;         1;         0;          0
