;** RIFORNIMENTI DA DEPOSITI AL: 05/10/2017 **
 
Codice;Descrizione;Q.ta rifornimento;in arrivo LBX (PZ);da TRI;(in pallet);in arrivo (PZ);da PAR;(in pallet);in arrivo (PZ);Mancante
010293;TEXACO MULTIFAK EP 2 KG. 18   ;         32;         8;        32;         1;         0;         0;         2;         0;          0
009727;TEXACO MOTOR OIL S 5W40 LT.1  ;        559;         0;       559;         1;         0;         0;         2;         0;          0
010105;TEXACO URSA HEV DU 10W LT.208 ;          4;         0;         4;         1;         0;         0;         2;         0;          0
014465;POLLICE 4T LT.1-780310534     ;        573;         0;       573;         1;         0;         0;         2;         0;          0
005855;CEPSA EUROMAX SYNT 10W40 LT208;          3;         0;         3;         1;         0;         0;         2;         0;          0
010298;TEXACO URSA TD 15W40 LT. 20   ;         32;         0;        32;         1;         0;         0;         2;         0;          0
014134;TEXACO TEXTRAN 1000 THF LT.20 ;         29;         0;        29;         1;         0;         0;         2;         0;          0
008938;TEXACO WAY LUBRI X  68 LT.208 ;          3;         0;         3;         1;         0;         0;         2;         0;          0
014382;SHELL BATTERIA ROSSA 44 L0    ;         53;         0;         1;         1;         0;         0;         2;         0;         52
008896;TEXACO RANDO HD 150 LT.208    ;          3;         0;         3;         1;         0;         0;         2;         0;          0
008771;TEXACO HAV ULTRA S 5W40 LT. 1 ;        363;         0;       363;         1;         0;         0;         2;         0;          0
009410;TEXACO MULTIFAK T EP 2 KG.180 ;          2;         4;         2;         1;         0;         0;         2;         0;          0
010289;TEXACO CAPELLA WF 46 LT.208   ;          2;         0;         2;         1;         0;         0;         2;         0;          0
015102;ULTRAX BATTERIA 70 L3         ;         41;     2.958;        41;         1;         0;         0;         2;         0;          0
014453;IP SMO PLUS 10W40 LT.4        ;        116;         0;       116;         1;        76;         0;         2;         0;          0
010052;TEXACO URSA HEV DU 15W40 LT 20;         27;         0;        27;         1;         0;         0;         2;         0;          0
008755;TEXACO MEROPA  320 LT. 208    ;          3;         0;         3;         1;         0;         0;         2;         0;          0
014450;IP SMO EP 5W40 LT.1           ;        341;         0;       341;         1;         0;         0;         2;         0;          0
008800;TEXACO TEXAMATIC 4291 LT.208  ;          2;         0;         2;         1;         0;         0;         2;         0;          0
014650;TEXACO HAV PRODS V 5W30 LT.1  ;        263;         0;       263;         1;         0;         0;         2;         0;          0
008984;TEXACO URSA LE 15W40 LT.208   ;          2;         0;         1;         1;         0;         0;         2;         0;          1
008987;TEXACO URSA LE 10W30 LT.208   ;          2;         0;         2;         1;         0;         0;         2;         0;          0
005846;CEPSA GENUINE 5W30 SYN LT.5   ;         69;         0;        69;         1;         0;         0;         2;         0;          0
008717;TEXACO REGAL EP  46 LT.208    ;          2;         0;         2;         1;         0;         0;         2;         0;          0
008963;TEXACO HDAX 7200 LT.208       ;          2;         0;         2;         1;         0;         0;         2;         0;          0
002264;TEXACO HAV ULTRA S 5W30 LT.  1;        291;         0;       291;         1;         0;         0;         2;         0;          0
014454;IP SMO 15W40 LT.1             ;        402;         0;       402;         1;         0;         0;         2;         0;          0
010095;CEPSA GENUINE 5W30 SYN LT.4   ;         73;         0;        73;         1;         0;         0;         2;         0;          0
008746;TEXACO HAV EXTRA 10W40 LT. 5  ;         67;         0;        67;         1;         0;         0;         2;         0;          0
009125;CEPSA AVANT 10W40 SYNT LT.5   ;         78;         0;        78;         1;         0;         0;         2;         0;          0
009092;TEXACO HAV XLI (CL00) LT.210  ;          2;         0;         2;         1;         0;         0;         2;         0;          0
013051;TEXACO HAV XLC CONCENT LT. 20 ;         19;        64;        19;         1;         0;         0;         2;         0;          0
008753;TEXACO MEROPA  220 LT. 208    ;          2;         0;         2;         1;         0;         0;         2;         0;          0
