               2022000858     00001S750           009577-C12                                             0000000873          00000000012000PZ                                                00038435                 2021                     AG-217-2021-131          20211229                 000008738008959954025
SIN            2022014772     00008S750           026974-VIS                                             0000001300          00000000001000PZ                                                00006053                 2022                     30544                    20220228                 00001300
SIN            2022014772     00009S750           026976-VIS                                             0000000200          00000000002000PZ                                                00006053                 2022                     30544                    20220228                 00000200
SIN            2022014772     00010S750           026987-VIS                                             0000000200          00000000002000PZ                                                00006053                 2022                     30544                    20220228                 00000200
SIN            2022014772     00011S750           026988-VIS                                             0000001300          00000000001000PZ                                                00006053                 2022                     30544                    20220228                 00001300
SIN            2022014772     00012S750           026990-VIS                                             0000000200          00000000002000PZ                                                00006053                 2022                     30544                    20220228                 00000200
SIN            2022014772     00013S750           018323-VIS                                             0000000200          00000000002000PZ                                                00006053                 2022                     30544                    20220228                 00000200
SIN            2022014772     00014S750           033728-VIS                                             0000001200          00000000002000PZ                                                00006053                 2022                     30544                    20220228                 00001200
SIN            2022014772     00015S750           033729-VIS                                             0000001200          00000000003000PZ                                                00006053                 2022                     30544                    20220228                 00001200
SIN            2022015106     00001S750           026797-FTO                                             0000183475          00000000001000PZ                                                00006086                 2022                     AG-214-2022-50           20220228                 00183475
SIN            2022015106     00002S750           029619-C12                                             0000000880          00000000012000PZ                                                00006086                 2022                     AG-214-2022-50           20220228                 00000880
SIN            2022015106     00003S750           016869-C12                                             0000000840          00000000012000PZ                                                00006086                 2022                     AG-214-2022-50           20220228                 00000840
SIN            2022015106     00004S750           011732-LAT                                             0000017000          00000000002000PZ                                                00006086                 2022                     AG-214-2022-50           20220228                 00017000
SIN            2022015120     00001S750           021524-C04                                             0000005275          00000000004000PZ                                                00005766                 2022                     -84783                   20220223                 00005275
SIN            2022015120     00002S750           021538-LAT                                             0000020000          00000000001000PZ                                                00005766                 2022                     -84783                   20220223                 00020000
SIN            2022015120     00003S750           014642-LAT                                             0000016700          00000000001000PZ                                                00005766                 2022                     -84783                   20220223                 00016700
SIN            2022015120     00004S750           008741-LAT                                             0000016940          00000000001000PZ                                                00005766                 2022                     -84783                   20220223                 00016940
SIN            2022015120     00005S750           017094-LAT                                             0000016820          00000000001000PZ                                                00005766                 2022                     -84783                   20220223                 00016820
SIN            2022015120     00006S750           033701-LAT                                             0000017020          00000000001000PZ                                                00005766                 2022                     -84783                   20220223                 00017020
SIN            2022015120     00007S750           029816-LAT                                             0000017100          00000000001000PZ                                                00005766                 2022                     -84783                   20220223                 00017100
SIN            2022015120     00008S750           034837-C04                                             0000003520          00000000004000PZ                                                00005766                 2022                     -84783                   20220223                 00003520
SIN            2022015120     00009S750           021940-LAT                                             0000017020          00000000001000PZ                                                00005766                 2022                     -84783                   20220223                 00017020
SIN            2022015120     00010S750           021939-LAT                                             0000017000          00000000001000PZ                                                00005766                 2022                     -84783                   20220223                 00017000
SIN            2022015126     00001S750           014651-FTO                                             0000177840          00000000001000PZ                                                00002592                 2022                     0131-83768               20220128                 00177840
SIN            2022015127     00001S750           021538-LAT                                             0000020000          00000000002000PZ                                                00006117                 2022                     -84895                   20220228                 00020000
SIN            2022015128     00001S750           021538-LAT                                             0000020000          00000000001000PZ                                                00004868                 2022                     -84478                   20220216                 00020000
SIN            2022015129     00001S750           021538-LAT                                             0000020000          00000000002000PZ                                                00004245                 2022                     -84246                   20220210                 00020000
SIN            2022015133     00001S750           014641-FTO                                             0000176380          00000000001000PZ                                                00006024                 2022                     261-84851                20220225                 00176380
SIN            2022015133     00002S750           014651-FTO                                             0000177840          00000000001000PZ                                                00006024                 2022                     261-84851                20220225                 00177840
SIN            2022015135     00001S750           021538-LAT                                             0000020000          00000000001000PZ                                                00004232                 2022                     0185-84199               20220209                 00020000
SIN            2022015145     00001S750           010513-C12                                             0000000850          00000000120000PZ                                                00006168                 2022                     AZETA 28/02/2022-84894   20220228                 00000850
SIN            2022015145     00002S750           010509-C12                                             0000000850          00000000120000PZ                                                00006168                 2022                     AZETA 28/02/2022-84894   20220228                 00000850
SIN            2022015145     00003S750           022378-VIS                                             0000000001          00000000001000PZ                                                00006168                 2022                     AZETA 28/02/2022-84894   20220228                 00000001
SIN            2022015148     00001S750           022238-VIS                                             0000033940          00000000010000PZ                                                00001190                 2022                     -83269                   20220117                 00033940
SIN            2022015148     00002S750           022238-VIS                                             0000033940          00000000001000PZ                                                00001190                 2022                     -83269                   20220117                 00033940
SIN            2022015151     00001S750           021538-LAT                                             0000020000          00000000001000PZ                                                00004767                 2022                     -84423                   20220215                 00020000
SIN            2022015151     00002S750           007924-VIS                                             0000000001          00000000001000PZ                                                00004767                 2022                     -84423                   20220215                 00000001
SIN            2022015153     00001S750           029789-FTO                                             0000233730          00000000001000PZ                                                00005873                 2022                     42/S 2022-84816          20220225                 00233730
SIN            2022015153     00002S750           013051-LAT                                             0000020000          00000000020000PZ                                                00005873                 2022                     42/S 2022-84816          20220225                 00020000
SIN            2022015156     00001S750           014641-FTO                                             0000176380          00000000001000PZ                                                00005080                 2022                     -84549                   20220217                 00176380
SIN            2022015157     00001S750           026850-VIS                                             0000015700          00000000025000PZ                                                00002621                 2022                     -83665                   20220125                 00015700
SIN            2022015157     00002S750           026850-VIS                                             0000015700          00000000002000PZ                                                00002621                 2022                     -83665                   20220125                 00015700
SIN            2022015158     00001S750           010313-C04                                             0000003400          00000000076000PZ                                                00005711                 2022                     -84729                   20220222                 00003400
SIN            2022015159     00001S750           033701-LAT                                             0000017020          00000000003000PZ                                                00006153                 2022                     -84896                   20220228                 00017020
SIN            2022015159     00002S750           021940-LAT                                             0000017020          00000000004000PZ                                                00006153                 2022                     -84896                   20220228                 00017020
SIN            2022015159     00003S750           029816-LAT                                             0000017100          00000000003000PZ                                                00006153                 2022                     -84896                   20220228                 00017100
SIN            2022015163     00001S750           026792-C12                                             0000000890          00000000216000PZ                                                00004014                 2022                     -84161                   20220208                 00000890
SIN            2022015165     00001S750           026729-VIS                                             0000013298          00000000006000PZ                                                00005495                 2022                     1633                     20220221                 000132988109084
SIN            2022015165     00002S750           026730-VIS                                             0000011168          00000000004000PZ                                                00005495                 2022                     1633                     20220221                 000111688109183
